Name,WKN,Last Price,Date/Time Last Price,Volume in Euro,+/- %,Coupon,Currency,YTM
Nederlandse Waterschapsbank N.V. 1% 15/25,A1Z5ZQ,"98,86",21.01.25 09:21,0,"0,00","1,00%",Euro,"0,93%"
"European Investment Bank (EIB) 1,5% 17/27",A1V3A4,"97,64",21.01.25 17:20,0,"0,00","1,50%",Schwedische Kronen,"2,26%"
"Kreditanstalt für Wiederaufbau 0,25% 17/25",A2AAJN,"98,95",21.01.25 17:05,0,"0,01","0,25%",Euro,"2,64%"
Ignitis Group UAB 2% 17/27,A19LD4,"96,03",21.01.25 10:00,0,"0,03","2,00%",Euro,"3,54%"
"Merlin Properties SOCIMI S.A. 2,375% 17/29",A19N7V,"96,43",21.01.25 09:21,0,"0,13","2,38%",Euro,"3,17%"
"ENEL Finance International N.V. 1,125% 18/26",A19UUM,"97,38",21.01.25 09:21,0,"0,06","1,13%",Euro,"2,74%"
"SpareBank 1 Boligkreditt AS 0,5% 18/25",A19VKN,"99,96",21.01.25 11:20,0,"0,01","0,50%",Euro,"1,02%"
"Kreditanstalt für Wiederaufbau 1,375% 18/28",A2E4JT,"96,77",21.01.25 12:58,0,"-0,04","1,38%",Schwedische Kronen,"1,22%"
"Asian Development Bank (ADB) 0,35% 18/25",A193A2,"98,78",21.01.25 09:21,0,"0,00","0,35%",Euro,"-1,56%"
"International Bank for Reconstruction and Development 0,625% 18/27",A2RUFV,"95,07",21.01.25 17:17,0,"0,01","0,63%",Euro,-
"Polen, Republik 1% 19/29",A2RYWG,"93,50",21.01.25 14:40,0,"0,03","1,00%",Euro,"2,59%"
"Polen, Republik 2% 19/49",A2RYWH,"71,37",21.01.25 09:21,0,"0,15","2,00%",Euro,"3,63%"
"Nordea Bank Abp 0,375% 19/26",A2R2UV,"97,01",21.01.25 17:08,0,"0,55","0,38%",Euro,"2,67%"
"Mitsubishi UFJ Financial Group Inc. 0,848% 19/29",A2R5JZ,"90,60",21.01.25 09:21,0,"0,00","0,85%",Euro,"3,07%"
"E.ON SE 0,35% 19/30",A2YNX0,"88,00",21.01.25 10:42,0,"0,26","0,35%",Euro,"2,89%"
"SpareBank 1 SMN 0,125% 19/26",A2R7CX,"95,53",21.01.25 09:21,0,"0,01","0,13%",Euro,-
"Raiffeisen Bank International AG 0,375% 19/26",A2R76H,"95,51",21.01.25 08:12,0,"0,02","0,38%",Euro,"2,53%"
"KommuneKredit 0,625% 19/39",A2SAJL,"70,28",21.01.25 09:21,0,"0,17","0,63%",Euro,-
"Merlin Properties SOCIMI S.A. 1,875% 19/34",A2SA9P,"84,33",21.01.25 11:20,0,"0,46","1,88%",Euro,-
"European Investment Bank (EIB) 1,9% 20/25",A28SEB,"99,93",17.01.25 17:00,0,"0,00","1,90%",Canadische Dollar,-
"Red Eléctrica Financiaciones S.A.U. 0,375% 20/28",A28R5E,"92,15",21.01.25 09:21,0,"0,15","0,38%",Euro,-
"Iberdrola Finanzas S.A. 0,875% 20/25",A28VN1,"99,23",21.01.25 09:21,0,"0,03","0,88%",Euro,-
"EUROFIMA Europäische Gesellschaft für die Finanzierung von Eisen 0,1% 20/30",A28XE6,"87,33",21.01.25 09:21,0,"0,02","0,10%",Euro,-
"Merlin Properties SOCIMI S.A. 2,375% 20/27",A28ZT1,"98,45",21.01.25 09:21,0,"0,14","2,38%",Euro,-
"Volkswagen International Finance N.V. 1,25% 20/32",A282U2,"83,25",21.01.25 11:20,0,"0,04","1,25%",Euro,"3,77%"
"National Bank of Greece S.A. 2,75% 20/26",A283HP,"99,59",21.01.25 11:20,0,"0,01","2,75%",Euro,-
"Volvo Car AB 2,5% 20/27",A283HB,"97,54",21.01.25 09:21,0,"0,08","2,50%",Euro,-
"Mizuho Financial Group Inc. 0,214% 20/25",A283GD,"97,55",21.01.25 12:58,0,"0,01","0,21%",Euro,-
International Bank for Reconstruction and Development 5% 21/26,A287ST,"93,00",21.01.25 11:20,0,"0,00","5,00%",Real (Brasilien),-
"International Bank for Reconstruction and Development 4,25% 21/26",A287WL,"93,50",21.01.25 09:21,0,"0,00","4,25%",Mexikanische Pesos,"9,20%"
"Atrium Finance PLC 2,625% 21/27",A3KLFL,"87,02",21.01.25 09:21,0,"0,16","2,63%",Euro,-
"SpareBank 1 SMN 0,01% 21/28",A3KLX2,"91,32",21.01.25 09:21,0,"0,03","0,01%",Euro,-
"Intesa Sanpaolo S.p.A. 0,75% 21/28",A3KM9J,"92,98",21.01.25 09:21,0,"0,03","0,75%",Euro,"2,68%"
"Kreditanstalt für Wiederaufbau 0,625% 21/25",A289JH,"96,24",21.01.25 09:21,0,"-0,01","0,63%",Zloty (Polen),-
"RWE AG 0,625% 21/31",A3E5VA,"84,33",21.01.25 08:12,0,"0,20","0,63%",Euro,-
"Instituto de Credito Oficial 0,000% 21/27",A3KSMW,"94,48",21.01.25 17:17,0,"-0,01",-,Euro,-
"SpareBank 1 Sor-Norge ASA 0,375% 21/27",A3KTYL,"96,14",21.01.25 09:21,0,"0,01","0,38%",Euro,-
"China Merchants Bank Co. Ltd. [Luxembourg Branch] 1,25% 21/26",A3KVNY,"94,24",21.01.25 09:21,0,"0,00","1,25%",US-Dollar,-
Münchener Rückversicherungs-Gesellschaft AG in München 1% 21/42,A3E5WY,"82,76",21.01.25 17:00,0,"0,78","1,00%",Euro,-
"ERG S.p.A. 0,875% 21/31",A3KV7C,"83,59",21.01.25 12:58,0,"-0,14","0,88%",Euro,-
"International Bank for Reconstruction and Development 6,25% 21/26",A3KXK3,"94,38",21.01.25 11:20,0,"0,03","6,25%",Mexikanische Pesos,-
"Sparebanken Vest Boligkreditt AS 0,01% 21/26",A3KW84,"95,63",21.01.25 17:17,0,"0,02","0,01%",Euro,-
"Lar Espana Real Estate SOCIMI S.A. 1,843% 21/28",A3KX77,"98,28",21.01.25 09:21,0,"0,09","1,84%",Euro,-
"Bayerische Landesbank 1,375% 21/32",BLB8DN,"93,30",21.01.25 17:08,0,"0,70","1,38%",Euro,-
"RWE AG 0,5% 21/28",A3MP70,"91,33",21.01.25 11:20,0,"0,14","0,50%",Euro,-
RWE AG 1% 21/33,A3MP71,"80,12",21.01.25 10:00,0,"0,14","1,00%",Euro,-
"Nordea Bank Abp 1,125% 22/27",A3K2B2,"96,55",21.01.25 17:17,0,"0,03","1,13%",Euro,-
"ProLogis International Funding II S.A. 2,75% 22/32",A3K2JS,"84,51",21.01.25 09:21,0,"-0,02","2,75%",Britische Pfund,-
ProLogis International Funding II S.A. 3% 22/42,A3K2GW,"68,36",21.01.25 09:21,0,"0,06","3,00%",Britische Pfund,-
"Generali S.p.A. 5,8% 22/32",A3K7AL,"111,15",21.01.25 12:58,0,"-0,09","5,80%",Euro,-
"RWE AG 2,125% 22/26",A30VJE,"99,08",21.01.25 17:00,0,"0,11","2,13%",Euro,-
"Orsted A/S 2,875% 22/33",A3K6A1,"93,83",21.01.25 10:00,0,"-0,40","2,88%",Euro,-
"A2A S.p.A. 2,5% 22/26",A3K6QS,"99,28",21.01.25 09:21,0,"0,00","2,50%",Euro,-
"Volkswagen International Finance N.V. 3,75% 22/27",A3K61H,"101,16",21.01.25 09:21,0,"0,08","3,75%",Euro,-
Ayvens S.A. 4% 22/27,A3K7BA,"102,30",21.01.25 09:21,0,"0,11","4,00%",Euro,-
"Raiffeisen Bank International AG 4,125% 22/25",A3K81Y,"100,73",21.01.25 09:21,0,"-0,01","4,13%",Euro,-
"ProLogis International Funding II S.A. 3,625% 22/30",A3K811,"100,71",21.01.25 10:00,0,"0,09","3,63%",Euro,-
"Orsted A/S 3,25% 22/31",A3K88F,"98,24",21.01.25 11:20,0,"-0,39","3,25%",Euro,-
"Orsted A/S 5,125% 22/34",A3K88G,"94,98",21.01.25 09:21,0,"-0,14","5,13%",Britische Pfund,-
"Orsted A/S 5,375% 22/42",A3K88H,"90,19",21.01.25 09:21,0,"-0,11","5,38%",Britische Pfund,-
"Citigroup Inc. 3,713% 22/28",A3K9PF,"101,73",21.01.25 08:12,0,"0,04","3,71%",Euro,-
"Kreditanstalt für Wiederaufbau 3,875% 22/25",A4SAWY,"99,44",21.01.25 11:20,0,"0,00","3,88%",Britische Pfund,-
"Orsted A/S 5,25%",A3LB0K,"101,83",21.01.25 10:00,0,"-0,93","5,25%",Euro,-
"Japan Finance Organization for Municipalities 3,375% 23/28",A3LEGZ,"101,59",21.01.25 09:21,0,"-0,03","3,38%",Euro,-
"E.ON SE 3,875% 23/35",A30V8B,"102,12",21.01.25 09:21,0,"0,27","3,88%",Euro,-
"RWE AG 3,625% 23/29",A30V83,"101,96",21.01.25 17:00,0,"0,07","3,63%",Euro,-
"Kreditanstalt für Wiederaufbau 2,75% 23/33",A4SAW7,"100,11",21.01.25 09:21,0,"0,05","2,75%",Euro,-
"ProLogis International Funding II S.A. 4,625% 23/35",A3LEHF,"106,16",21.01.25 17:00,0,"0,24","4,63%",Euro,-
"Orsted A/S 3,625% 23/26",A3LEU1,"100,57",21.01.25 10:00,0,"-0,07","3,63%",Euro,-
"Orsted A/S 4,125% 23/35",A3LEU3,"101,73",21.01.25 12:58,0,"-0,55","4,13%",Euro,-
"Siemens Energy Finance B.V. 4,25% 23/29",A3LFSH,"102,69",21.01.25 17:00,0,"0,01","4,25%",Euro,-
"Intesa Sanpaolo S.p.A. 4,875% 23/30",A3LHY6,"106,88",21.01.25 12:58,0,"-0,06","4,88%",Euro,-
"Iberdrola Finanzas S.A. 3,625% 23/33",A3LKWK,"101,57",21.01.25 12:58,0,"-0,14","3,63%",Euro,-
"DS Smith PLC 4,375% 23/27",A3LLGZ,"103,10",21.01.25 17:17,0,"0,12","4,38%",Euro,-
"East Japan Railway Co. 4,389% 23/43",A3LMP0,"107,35",21.01.25 12:58,0,"-0,15","4,39%",Euro,-
E.ON SE 4% 23/33,A351VH,"104,00",21.01.25 17:00,0,"0,02","4,00%",Euro,-
"ZF Europe Finance B.V. 6,125% 23/29",A3LNA1,"102,49",21.01.25 17:00,0,"0,21","6,13%",Euro,-
