URL,ISIN,Company,Kupon_Maturity,Coupon,Maturity_Start,Maturity_End,is_green,Letzter Preis,Veränderung zum Vortag,Letzter Handel,Geld,Brief,Modified Duration,Kupon,Emittent,Branche,Fälligkeit,Schuldnerkündigungsart,Sonderkündigung,Nachrangig,Kleinste handelbare Einheit,Spezialist,Handelsmodell,Emissionsdatum,Emissionsvolumen,Umlaufendes Volumen,Emissionswährung,Depotwährung,Notierungsaufnahme,Emission_year_2020.0,Emission_year_2021.0,Emission_year_2022.0,Emission_year_2023.0,Emission_year_2024.0,Emission_year_2025.0
https://www.boerse-frankfurt.de/anleihe/de000dw6c565-dz-bank-ag-deutsche-zentral-genossenschaftsbank-frankfurt-am-main-4-31-23-33,de000dw6c565,dz-bank-ag-deutsche-zentral-genossenschaftsbank-frankfurt-am-main,4-31-23-33,4.31,23,33,0,"105,88","0,25%",,Brief,,5424,43.1,DZ BANK AG Deutsche Zentral-Genossenschaftsbank,Schuldverschreibungen von Sonderinstituten,"28,06,2033",,,Nein,100000.0,BAADER BANK AG,Fortlaufende Auktion,2023-06-28,45000000.0,45000000.0,EUR,EUR,"29,06,2023",False,False,False,True,False,False
https://www.boerse-frankfurt.de/anleihe/de000hel0ba0-landesbank-hessen-thueringen-girozentrale-3-3-24-26,de000hel0ba0,landesbank-hessen-thueringen-girozentrale,3-3-24-26,3.3,24,26,0,"98,20","0,15%",,Brief,,1603,33,Landesbank Hessen-ThÃ¼ringen Girozentrale,WÃ¤hrungsanleihen,"02,12,2026",,,,1000.0,BAADER BANK AG,Fortlaufende Auktion,2024-12-02,100000000.0,1418000.0,USD,USD,"02,12,2024",False,False,False,False,True,False
https://www.boerse-frankfurt.de/anleihe/de000hel0bg7-landesbank-hessen-thueringen-girozentrale-2-1-24-26,de000hel0bg7,landesbank-hessen-thueringen-girozentrale,2-1-24-26,2.1,24,26,0,"99,35","0,05%",,Brief,,1666,21,Landesbank Hessen-ThÃ¼ringen Girozentrale,Pfandbriefe von Hypothekenbankenoder,"04,12,2026",,,,1000.0,BAADER BANK AG,Fortlaufende Auktion,2024-12-04,245000000.0,4851000.0,EUR,EUR,"04,12,2024",False,False,False,False,True,False
https://www.boerse-frankfurt.de/anleihe/de000hel0bh5-landesbank-hessen-thueringen-girozentrale-2-2-24-27,de000hel0bh5,landesbank-hessen-thueringen-girozentrale,2-2-24-27,2.2,24,27,0,"98,80","0,10%",,Brief,,2518,22,Landesbank Hessen-ThÃ¼ringen Girozentrale,Pfandbriefe von Hypothekenbankenoder,"06,12,2027",,,,1000.0,BAADER BANK AG,Fortlaufende Auktion,2024-12-06,100000000.0,11088000.0,EUR,EUR,"06,12,2024",False,False,False,False,True,False
https://www.boerse-frankfurt.de/anleihe/fr001400ne03-caisse-francaise-de-financement-local-3-125-24-33,fr001400ne03,caisse-francaise-de-financement-local,3-125-24-33,3.125,24,33,0,"100,62","-0,23%",,Brief,,5991,31.25,Caisse Francaise de Financement Local,WÃ¤hrungsanleihen,"24,11,2033",,,,100000.0,WOLFGANG STEUBING AG,Fortlaufende Auktion,2024-01-24,1000000000.0,1000000000.0,EUR,EUR,"19,01,2024",False,False,False,False,True,False
https://www.boerse-frankfurt.de/anleihe/xs2384373341-power-finance-corp-ltd-1-841-21-28,xs2384373341,power-finance-corp-ltd,1-841-21-28,1.841,21,28,0,"93,67","0,01%",,Brief,,3042,18.41,"Power Finance Corp, Ltd,",WÃ¤hrungsanleihen,"21,09,2028",Special call,,,100000.0,WOLFGANG STEUBING AG,Fortlaufende Auktion,2021-09-21,300000000.0,300000000.0,EUR,EUR,"16,09,2021",False,True,False,False,False,False
https://www.boerse-frankfurt.de/anleihe/xs2989306506-landesbank-hessen-thueringen-girozentrale-2-75-25-31,xs2989306506,landesbank-hessen-thueringen-girozentrale,2-75-25-31,2.75,25,31,0,"100,93","0,28%",,Brief,,4765,27.5,Landesbank Hessen-ThÃ¼ringen Girozentrale,Pfandbriefe von Hypothekenbankenoder,"30,01,2031",,,,100000.0,BAADER BANK AG,Fortlaufende Auktion,2025-01-30,1000000000.0,1000000000.0,EUR,EUR,"31,01,2025",False,False,False,False,False,True
https://www.boerse-frankfurt.de/anleihe/de000dfk0cn5-dz-bank-ag-deutsche-zentral-genossenschaftsbank-frankfurt-am-main-1-58-20-30,de000dfk0cn5,dz-bank-ag-deutsche-zentral-genossenschaftsbank-frankfurt-am-main,1-58-20-30,1.58,20,30,0,87095,"0,22%",,Brief,,4135,15.8,DZ BANK AG Deutsche Zentral-Genossenschaftsbank,Schuldverschreibungen von Sonderinstituten,"22,07,2030",,,Ja,100000.0,BAADER BANK AG,Fortlaufende Auktion,2020-07-22,100000000.0,100000000.0,EUR,EUR,"23,07,2020",True,False,False,False,False,False
https://www.boerse-frankfurt.de/anleihe/de000dw6c1l9-dz-bank-ag-deutsche-zentral-genossenschaftsbank-frankfurt-am-main-3-653-23-28,de000dw6c1l9,dz-bank-ag-deutsche-zentral-genossenschaftsbank-frankfurt-am-main,3-653-23-28,3.653,23,28,0,100385,"0,00%",,Brief,,2693,36.53,DZ BANK AG Deutsche Zentral-Genossenschaftsbank,Schuldverschreibungen von Sonderinstituten,"26,01,2028",,,,100000.0,BAADER BANK AG,Fortlaufende Auktion,2023-01-26,10000000.0,10000000.0,EUR,EUR,"30,01,2023",False,False,False,True,False,False
https://www.boerse-frankfurt.de/anleihe/de000dw6c1m7-dz-bank-ag-deutsche-zentral-genossenschaftsbank-frankfurt-am-main-2-62-23-26,de000dw6c1m7,dz-bank-ag-deutsche-zentral-genossenschaftsbank-frankfurt-am-main,2-62-23-26,2.62,23,26,0,"100,07","0,05%",,Brief,,1623,26.2,DZ BANK AG Deutsche Zentral-Genossenschaftsbank,Schuldverschreibungen von Sonderinstituten,"20,11,2026",,,,1000.0,ICF BANK AG WERTPAPIERHANDELSBANK,Fortlaufende Auktion,2023-02-07,10000000.0,10000000.0,EUR,EUR,"08,02,2023",False,False,False,True,False,False
